Localidades rurales que rebasan su municipio*,,,,,
* El rebase podría ser milimétrico en algunas localidades,,,,,
Localidad rural,,,,,
"MARCO GEOESTADÍSTICO, JUNIO 2018   ",,,,,
Clave concatenada,Clave de entidad,Clave de municipio,Clave de localidad,Nombre  de  localidad,Tipo
110200439,11,20,439,San Isidro de los Sauces,Rural
110260015,11,26,15,El Escoplo,Rural
160500035,16,50,35,El Moral,Rural
110020012,11,2,12,La Concepción,Rural
110210021,11,21,21,La Soledad,Rural
110270035,11,27,35,Buenavista de Valtierra,Rural
110460003,11,46,3,La Angostura,Rural
110450011,11,45,11,San Miguel de las Casitas,Rural
110270114,11,27,114,Godoy,Rural
110420007,11,42,7,El Borrego,Rural
110420010,11,42,10,Cahuageo,Rural
160540003,16,54,3,La Cruz del Niño,Rural
110410015,11,41,15,Lagunilla del Encinal,Rural
120450029,12,45,29,Las Juntas,Rural
120540113,12,54,113,El Remance,Rural
120580297,12,58,297,Miahuatepec,Rural
120580036,12,58,36,Cruz Blanca,Rural
120030033,12,3,33,Nanche Colorado (El Nanche),Rural
120520096,12,52,96,Mixtecapa,Rural
120720005,12,72,5,Ayotoxtla,Rural
120320075,12,32,75,Puerto Gallo [Campamento],Rural
120560052,12,56,52,El Zanate,Rural
120360008,12,36,8,La Reforma,Rural
120350015,12,35,15,Platanillo,Rural
170170010,17,17,10,El Zapote,Rural
120350003,12,35,3,Colonia Álvaro Obregón,Rural
120260013,12,26,13,San Luis,Rural
120250012,12,25,12,El Líbano,Rural
120410075,12,41,75,Xkua Xtuti,Rural
120110056,12,11,56,La Remonta (La Remonta Grande),Rural
120110147,12,11,147,Colonia Vicente Guerrero,Rural
120730105,12,73,105,Pandacuareo,Rural
120060070,12,6,70,Pueblo Nuevo Santa María,Rural
120500011,12,50,11,Placeritos,Rural
120740017,12,74,17,Topiltepec,Rural
120510010,12,51,10,Huehuecoyotla,Rural
120180023,12,18,23,Las Peñas,Rural
120580324,12,58,324,Nueva Esperanza,Rural
120290097,12,29,97,Colonia General Heliodoro Castillo (Chicahuales),Rural
120700005,12,70,5,Tehuaxtitlán,Rural
120080041,12,8,41,San Juan Teocalcingo,Rural
120080014,12,8,14,Tuzantlán,Rural
120170014,12,17,14,El Municipio (Tijuanita),Rural
120130049,12,13,49,Quetzalapa,Rural
120550040,12,55,40,San Miguel Guerrero (San Miguel),Rural
120480220,12,48,220,Barra de Potosí,Rural
120290030,12,29,30,Carrizal de la Vía,Rural
120320057,12,32,57,Ojo de Agua (Ojo de Agua del Progreso),Rural
120320042,12,32,42,Izotepec,Rural
120520096,12,52,96,Mixtecapa,Rural
120520107,12,52,107,Cruz Alta,Rural
120810041,12,81,41,13 de Septiembre,Rural
120620009,12,62,9,El Limón Guadalupe,Rural
120360024,12,36,24,Chimalapa,Rural
120580115,12,58,115,Yerbabuena,Rural
120390044,12,39,44,San Juan del Reparo Norte (San Juan del Reparo),Rural
120390056,12,39,56,Chacalapa de Bravos,Rural
120010242,12,1,242,Bella Vista Papagayo,Rural
120010493,12,1,493,La Arena,Rural
120600037,12,60,37,Tepacoya,Rural
120480068,12,48,68,Coyuquilla Norte,Rural
120140010,12,14,10,Llano de la Puerta,Rural
120070111,12,7,111,La Concordia,Rural
120350002,12,35,2,Ahuehuepan,Rural
